emp_no,first_name,last_name,title
10001,Georgi,Facello,Senior Engineer
10004,Chirstian,Koblick,Senior Engineer
10005,Kyoichi,Maliniak,Staff
10006,Anneke,Preusig,Senior Engineer
10009,Sumant,Peac,Senior Engineer
10011,Mary,Sluis,Staff
10018,Kazuhide,Peha,Senior Engineer
10019,Lillian,Haddadi,Staff
10020,Mayuko,Warwick,Engineer
10022,Shahaf,Famili,Engineer
10023,Bojan,Montemayor,Engineer
10026,Yongqiao,Berztiss,Senior Engineer
10035,Alain,Chappelet,Senior Engineer
10047,Zvonko,Nyanchama,Senior Engineer
10051,Hidefumi,Caine,Senior Engineer
10053,Sanjiv,Zschoche,Senior Staff
10057,Ebbe,Callaway,Senior Engineer
10058,Berhard,McFarlin,Senior Staff
10059,Alejandro,McAlpine,Senior Staff
10063,Gino,Leonhardt,Senior Engineer
10066,Kwee,Schusler,Senior Engineer
10067,Claudi,Stavenow,Senior Engineer
10070,Reuven,Garigliano,Technique Leader
10072,Hironoby,Sidou,Senior Engineer
10073,Shir,McClurg,Engineer
10074,Mokhtar,Bernatsky,Technique Leader
10076,Erez,Ritzmann,Senior Engineer
10088,Jungsoon,Syrzycki,Staff
10091,Amabile,Gomatam,Senior Engineer
10096,Jayson,Mandell,Engineer
10097,Remzi,Waschkowski,Staff
10100,Hironobu,Haraldson,Staff
10101,Perla,Heyers,Staff
10103,Akemi,Birch,Engineer
10106,Eben,Aingworth,Senior Engineer
10108,Lunjin,Giveon,Staff
10116,Dayanand,Czap,Senior Engineer
10126,Kayoko,Valtorta,Staff
10127,Subir,Baja,Senior Engineer
10129,Armond,Peir,Technique Leader
10130,Nishit,Casperson,Senior Engineer
10131,Magdalena,Eldridge,Engineer
10134,Diederik,Siprelle,Senior Engineer
10138,Perry,Shimshoni,Senior Engineer
10149,Xiadong,Perry,Staff
10150,Zhenbing,Perng,Senior Engineer
10152,Jaques,Munro,Engineer
10153,Heekeun,Majewski,Assistant Engineer
10157,Nigel,Aloisi,Senior Engineer
10159,Serif,Buescher,Senior Engineer
10160,Debatosh,Khasidashvili,Staff
10161,Hairong,Mellouli,Engineer
10163,Karsten,Szmurlo,Senior Staff
10166,Samphel,Siegrist,Engineer
10177,Pragnesh,Iisaka,Staff
10183,Mechthild,Bonifati,Staff
10186,Shigehito,Kropatsch,Staff
10189,Khalid,Erva,Engineer
10194,Josyula,Hofmeyr,Staff
10196,Marc,Hellwagner,Staff
10198,Pranav,Furedi,Senior Engineer
